ID_REF	VALUE
7896738	3.229175
7896740	3.515172
7896742	5.683315
7896744	4.487921
7896746	12.84035
7896748	11.35852
7896750	4.829259
7896752	11.84758
7896754	5.869108
7896756	5.328946
7896759	6.03497
7896761	7.125591
7896779	7.024004
7896798	7.862473
7896817	7.617951
7896822	7.769775
7896859	5.739495
7896861	4.077596
7896863	6.089083
7896865	7.300486
7896878	7.836191
7896882	6.821899
7896908	7.945679
7896917	6.742726
7896921	6.730534
7896929	8.577621
7896937	6.961741
7896952	7.865538
7896961	7.413153
7896983	6.882253
7896985	6.875511
7897006	8.081073
7897026	5.109541
7897034	7.224493
7897044	7.242485
7897066	7.04292
7897068	8.935044
7897076	6.009157
7897078	8.890463
7897089	7.184729
7897119	8.120278
7897128	6.175225
7897132	6.289193
7897154	6.747918
7897172	7.196526
7897179	6.955559
7897196	5.851075
7897210	5.983592
7897227	5.588655
7897236	6.827754
7897257	7.144885
7897263	6.968062
7897277	5.214866
7897280	6.746089
7897286	7.229818
7897288	6.945847
7897293	8.036149
7897295	6.165093
7897305	6.436769
7897322	7.180838
7897329	6.860161
7897339	5.940697
7897368	4.812285
7897370	8.502699
7897378	6.183347
7897404	9.776281
7897416	5.469057
7897422	7.121561
7897424	5.216037
7897426	5.128363
7897439	6.210955
7897441	7.053129
7897449	8.647245
7897460	6.280607
7897469	7.321373
7897482	6.389375
7897509	5.506744
7897520	5.858393
7897522	6.970635
7897527	8.137541
7897559	4.598996
7897561	7.289754
7897620	8.563359
7897632	6.473268
7897648	7.953992
7897661	7.340969
7897663	7.782042
7897675	4.423447
7897683	3.576034
7897685	7.903473
7897691	6.120879
7897714	6.887673
7897728	7.223562
7897737	7.133742
7897745	9.250278
7897753	6.598134
7897774	6.444035
7897801	11.89022
7897803	8.830356
7897824	8.143206
7897849	7.913817
7897860	6.911634
7897877	7.484258
7897890	6.646156
7897953	8.707091
7897955	4.202431
7897960	4.3279
7897964	3.862957
7897966	4.669317
7897974	5.295501
7897978	3.585698
7897987	3.848612
7897991	6.749559
7897995	3.277036
7897997	5.498645
7898002	5.258786
7898007	4.644552
7898012	4.537807
7898020	4.947638
7898026	4.344759
7898030	5.708498
7898034	4.947638
7898040	4.537807
7898048	4.779632
7898052	6.24191
7898057	6.079026
7898070	6.735645
7898084	7.941318
7898102	5.778305
7898112	6.564696
7898115	7.311733
7898124	5.06385
7898161	8.734052
7898167	5.69686
7898176	5.114531
7898184	5.751661
7898192	6.704835
7898209	8.446476
7898211	7.036929
7898227	7.367528
7898249	6.532547
7898256	6.021341
7898263	7.561464
7898276	9.807944
7898278	8.152943
7898294	2.616406
7898296	5.229458
7898300	5.432276
7898314	5.325508
7898328	8.766153
7898337	8.12045
7898350	5.659159
7898353	5.710863
7898355	4.742956
7898357	6.160486
7898371	5.42317
7898373	3.93598
7898375	13.54318
7898377	6.807712
7898405	3.794663
7898407	4.776979
7898411	13.54318
7898413	5.569673
7898431	5.853068
7898448	5.508787
7898466	4.444759
7898483	7.36881
7898516	5.679953
7898521	6.193563
7898533	7.091646
7898535	3.56598
7898537	6.790344
7898549	8.193323
7898556	7.703342
7898568	5.329398
7898570	6.661351
7898572	2.850498
7898574	9.551607
7898582	7.742414
7898585	8.77693
7898594	6.493977
7898602	6.65793
7898607	6.876626
7898609	5.815733
7898616	6.022552
7898623	5.507793
7898627	5.611865
7898653	8.318925
7898655	5.788951
7898663	7.841316
7898673	6.137377
7898675	3.171333
7898677	8.149679
7898679	6.152303
7898693	6.76879
7898707	7.247866
7898713	7.199839
7898721	3.612864
7898723	6.415811
7898725	6.524569
7898732	3.705564
7898734	3.098739
7898736	6.117826
7898739	6.316184
7898750	5.866797
7898773	6.338621
7898793	9.69947
7898799	10.74708
7898805	9.856188
7898809	6.700067
7898833	8.206735
7898854	5.427208
7898856	7.93607
7898858	5.455997
7898869	6.418378
7898875	12.22163
7898881	6.913959
7898894	6.667778
7898902	9.498932
7898910	8.495688
7898916	5.956037
7898939	6.516407
7898957	7.651111
7898967	7.058755
7898975	9.432518
7898988	9.736609
7898998	4.619911
7899005	9.087941
7899016	9.291735
7899018	7.330232
7899023	6.9834
7899029	6.97349
7899043	9.336948
7899057	7.138755
7899069	5.402508
7899071	6.439392
7899073	3.714173
7899075	7.450214
7899087	6.340232
7899093	7.301294
7899096	8.401587
7899101	7.473403
7899124	4.88942
7899134	6.713789
7899151	3.226734
7899153	9.721888
7899160	9.538068
7899167	5.115773
7899173	7.174457
7899187	10.63245
7899192	7.92548
7899220	8.388497
7899244	7.283762
7899251	3.547069
7899253	8.675592
7899265	9.287308
7899273	8.271675
7899284	7.997593
7899287	8.486906
7899289	6.959597
7899310	7.27145
7899323	7.537271
7899343	7.395242
7899346	10.83738
7899348	6.749259
7899350	6.313272
7899361	7.538061
7899375	3.448294
7899377	7.551996
7899392	9.854904
7899394	7.524396
7899407	7.127248
7899417	6.554331
7899424	8.444393
7899436	5.901601
7899448	5.101943
7899455	7.842487
7899462	7.624005
7899480	13.31078
7899484	3.805264
7899486	6.788708
7899499	4.48988
7899502	11.68108
7899504	6.057349
7899517	2.999352
7899519	7.165537
7899528	6.678614
7899534	6.73932
7899560	7.348099
7899562	7.564402
7899595	6.157535
7899600	5.038874
7899602	4.788561
